year,sex,location,source,count
2005,Women,Blood donation bus,Incheon,4320
2005,Women,Blood donation bus,Ulsan,1767
2005,Women,Blood donation bus,Gyeonggi,3134
2005,Women,Blood donation bus,Gangwon,58
2005,Women,Blood donation bus,Chungbuk,72
2005,Women,Blood donation bus,DaejeonChungnam,2438
2005,Women,Blood donation bus,Jeonbuk,291
2005,Women,Blood donation bus,Jeonnam,404
2005,Women,Blood donation bus,Gyeongnam,2468
2005,Women,Blood donation bus,Jeju,764
2005,Women,Blood donation bus,Outside of Korean Red Cross,0
2006,Men,Group Donation,Korean Red Cross,920886
2006,Men,Group Donation,Central Seoul,92031
2006,Men,Group Donation,Western Seoul,43307
2006,Men,Group Donation,Southern Seoul,60151
2006,Men,Group Donation,Eastern Seoul,79233
2006,Men,Group Donation,Busan,71936
2006,Men,Group Donation,DaeguGyeongbuk,79707
2006,Men,Group Donation,Incheon,44940
2006,Men,Group Donation,Ulsan,30885
2006,Men,Group Donation,Gyeonggi,61546
2006,Men,Group Donation,Gangwon,53699
2006,Men,Group Donation,Chungbuk,34779
2006,Men,Group Donation,DaejeonChungnam,78099
2006,Men,Group Donation,Jeonbuk,49307
2006,Men,Group Donation,Jeonnam,66479
2006,Men,Group Donation,Gyeongnam,57902
2006,Men,Group Donation,Jeju,16885
2006,Men,Group Donation,Outside of Korean Red Cross,0
2006,Men,Highschool,Korean Red Cross,236004
2006,Men,Highschool,Central Seoul,13637
2006,Men,Highschool,Western Seoul,13332
2006,Men,Highschool,Southern Seoul,9974
2006,Men,Highschool,Eastern Seoul,18391
2006,Men,Highschool,Busan,19987
2006,Men,Highschool,DaeguGyeongbuk,24662
2006,Men,Highschool,Incheon,18567
2006,Men,Highschool,Ulsan,8872
2006,Men,Highschool,Gyeonggi,22093
2006,Men,Highschool,Gangwon,3439
2006,Men,Highschool,Chungbuk,9821
2006,Men,Highschool,DaejeonChungnam,22054
2006,Men,Highschool,Jeonbuk,16101
2006,Men,Highschool,Jeonnam,20422
2006,Men,Highschool,Gyeongnam,10432
2006,Men,Highschool,Jeju,4220
2006,Men,Highschool,Outside of Korean Red Cross,0
2006,Men,University,Korean Red Cross,83475
2006,Men,University,Central Seoul,5504
2006,Men,University,Western Seoul,1406
2006,Men,University,Southern Seoul,5734
2006,Men,University,Eastern Seoul,7613
2006,Men,University,Busan,7372
2006,Men,University,DaeguGyeongbuk,9761
2006,Men,University,Incheon,1216
2006,Men,University,Ulsan,781
2006,Men,University,Gyeonggi,6299
2006,Men,University,Gangwon,1492
2006,Men,University,Chungbuk,6848
2006,Men,University,DaejeonChungnam,9617
2006,Men,University,Jeonbuk,6931
2006,Men,University,Jeonnam,6166
2006,Men,University,Gyeongnam,5592
2006,Men,University,Jeju,1143
2006,Men,University,Outside of Korean Red Cross,0
2006,Men,Military Base,Korean Red Cross,429164
2006,Men,Military Base,Central Seoul,60848
2006,Men,Military Base,Western Seoul,19257
2006,Men,Military Base,Southern Seoul,33884
2006,Men,Military Base,Eastern Seoul,42849
2006,Men,Military Base,Busan,28490
2006,Men,Military Base,DaeguGyeongbuk,29094
2006,Men,Military Base,Incheon,18182
2006,Men,Military Base,Ulsan,9550
2006,Men,Military Base,Gyeonggi,15699
2006,Men,Military Base,Gangwon,46936
2006,Men,Military Base,Chungbuk,12357
2006,Men,Military Base,DaejeonChungnam,34687
2006,Men,Military Base,Jeonbuk,18943
2006,Men,Military Base,Jeonnam,24117
2006,Men,Military Base,Gyeongnam,28562
2006,Men,Military Base,Jeju,5709
2006,Men,Military Base,Outside of Korean Red Cross,0
2006,Men,Religion,Korean Red Cross,12219
2006,Men,Religion,Central Seoul,1223
2006,Men,Religion,Western Seoul,1779
2006,Men,Religion,Southern Seoul,1469
2006,Men,Religion,Eastern Seoul,2224
2006,Men,Religion,Busan,1119
2006,Men,Religion,DaeguGyeongbuk,57
2006,Men,Religion,Incheon,359
2006,Men,Religion,Ulsan,388
2006,Men,Religion,Gyeonggi,326
2006,Men,Religion,Gangwon,149
2006,Men,Religion,Chungbuk,455
2006,Men,Religion,DaejeonChungnam,1185
2006,Men,Religion,Jeonbuk,308
2006,Men,Religion,Jeonnam,797
2006,Men,Religion,Gyeongnam,130
2006,Men,Religion,Jeju,251
2006,Men,Religion,Outside of Korean Red Cross,0
2006,Men,Community,Korean Red Cross,160024
2006,Men,Community,Central Seoul,10819
2006,Men,Community,Western Seoul,7533
2006,Men,Community,Southern Seoul,9090
2006,Men,Community,Eastern Seoul,8156
2006,Men,Community,Busan,14968
2006,Men,Community,DaeguGyeongbuk,16133
2006,Men,Community,Incheon,6616
2006,Men,Community,Ulsan,11294
2006,Men,Community,Gyeonggi,17129
2006,Men,Community,Gangwon,1683
2006,Men,Community,Chungbuk,5298
2006,Men,Community,DaejeonChungnam,10556
2006,Men,Community,Jeonbuk,7024
2006,Men,Community,Jeonnam,14977
