year,source,sex,total,whole_blood_donation,whole_blood_donation_320ml,whole_blood_donation_400ml,apheresis_donation,apheresis_donation_plasma,apheresis_donation_platelets,apheresis_donation_multiapheresis,apheresis_donation_other
2013,Gyeongnam,Men,103678,82148,20264,61884,21530,19083,1843,604,
2013,Gyeongnam,Women,31093,24959,24919,40,6134,6095,32,7,
2013,Jeju,Men,21498,15827,3011,12816,5671,4003,1116,552,
2013,Jeju,Women,12806,10569,10315,254,2237,2204,33,,
2013,Outside of Korean Red Cross,Men,126564,94116,12844,81272,32448,9421,22344,3,680
2013,Outside of Korean Red Cross,Women,79746,70535,42933,27602,9211,6667,2402,1,141
2014,Central Seoul,Men,,,,,,,,,
2014,Central Seoul,Women,,,,,,,,,
2014,Western Seoul,Men,234946,148776,26147,122629,86170,51898,8358,25914,
2014,Western Seoul,Women,99850,70669,69418,1251,29181,27093,1584,504,
2014,Southern Seoul,Men,170207,116496,12560,103936,53711,26726,3903,23082,
2014,Southern Seoul,Women,59367,43006,37960,5046,16361,14336,1525,500,
2014,Eastern Seoul,Men,213068,137380,25175,112205,75688,47355,1962,26371,
2014,Eastern Seoul,Women,102248,78964,73784,5180,23284,22128,628,528,
2014,Busan,Men,156994,105528,15882,89646,51466,42308,816,8342,
2014,Busan,Women,78802,51567,51426,141,27235,27174,35,26,
2014,DaeguGyeongbuk,Men,178406,122840,23680,99160,55566,47866,507,7193,
2014,DaeguGyeongbuk,Women,85359,61147,59073,2074,24212,23924,179,109,
2014,Incheon,Men,124396,76912,16193,60719,47484,37846,4861,4777,
2014,Incheon,Women,61351,44379,43104,1275,16972,16700,232,40,
2014,Ulsan,Men,68146,49163,11565,37598,18983,15517,836,2630,
2014,Ulsan,Women,21264,16418,16418,,4846,4817,28,1,
2014,Gyeonggi,Men,151967,110801,23622,87179,41166,27319,2464,11383,
2014,Gyeonggi,Women,54239,45226,43895,1331,9013,8695,216,102,
2014,Gangwon,Men,99831,76332,7222,69110,23499,19242,163,4094,
2014,Gangwon,Women,28175,20898,18526,2372,7277,7226,31,20,
2014,Chungbuk,Men,74594,51771,7927,43844,22823,20244,595,1984,
2014,Chungbuk,Women,25597,17965,12508,5457,7632,7573,26,33,
2014,DaejeonChungnam,Men,170744,119663,20398,99265,51081,44000,98,6983,
2014,DaejeonChungnam,Women,61273,41906,41880,26,19367,19351,4,12,
2014,Jeonbuk,Men,89849,62385,9784,52601,27464,25286,399,1779,
2014,Jeonbuk,Women,35562,25083,24145,938,10479,10460,9,10,
2014,Jeonnam,Men,139455,89956,18415,71541,49499,40839,416,8244,
2014,Jeonnam,Women,78340,56225,52539,3686,22115,21622,218,275,
2014,Gyeongnam,Men,111425,83372,18863,64509,28053,24911,1332,1810,
2014,Gyeongnam,Women,31691,23501,23487,14,8190,8169,10,11,
2014,Jeju,Men,23140,15552,3468,12084,7588,5416,1010,1162,
2014,Jeju,Women,14252,11069,11057,12,3183,3132,49,2,
2014,Outside of Korean Red Cross,Men,130201,94274,12025,82249,35927,12573,19011,3579,764
2014,Outside of Korean Red Cross,Women,78686,68177,36991,31186,10509,8089,2168,153,99
2015,Central Seoul,Men,,,,,,,,,
2015,Central Seoul,Women,,,,,,,,,
2015,Western Seoul,Men,231660,145234,24079,121155,86426,47163,4484,34779,
2015,Western Seoul,Women,100627,75398,74063,1335,25229,22465,1846,918,
2015,Southern Seoul,Men,165554,109471,11579,97892,56083,26710,3546,25827,
2015,Southern Seoul,Women,58621,42340,36798,5542,16281,13658,2052,571,
2015,Eastern Seoul,Men,206563,132042,22358,109684,74521,42923,1768,29830,
2015,Eastern Seoul,Women,92175,74830,69103,5727,17345,15865,855,625,
2015,Busan,Men,158533,107590,16376,91214,50943,39597,353,10993,
2015,Busan,Women,79468,52572,52436,136,26896,26809,43,44,
2015,DaeguGyeongbuk,Men,177684,120481,21524,98957,57203,46811,352,10040,
2015,DaeguGyeongbuk,Women,82543,60865,58463,2402,21678,21305,203,170,
2015,Incheon,Men,121411,78679,15474,63205,42732,32273,431,10028,
2015,Incheon,Women,59436,44983,44150,833,14453,14176,163,114,
2015,Ulsan,Men,70085,49747,13169,36578,20338,15575,241,4522,
2015,Ulsan,Women,23655,18162,18159,3,5493,5466,23,4,
2015,Gyeonggi,Men,159274,117085,25728,91357,42189,26549,1677,13963,
2015,Gyeonggi,Women,59474,50328,49701,627,9146,8754,239,153,
2015,Gangwon,Men,116232,80788,8425,72363,35444,28257,98,7089,
2015,Gangwon,Women,33563,23810,22459,1351,9753,9606,29,118,
2015,Chungbuk,Men,73575,52089,8606,43483,21486,18630,106,2750,
2015,Chungbuk,Women,26052,19423,13228,6195,6629,6602,8,19,
2015,DaejeonChungnam,Men,180633,126660,17203,109457,53973,44494,33,9446,
2015,DaejeonChungnam,Women,68531,47808,43060,4748,20723,20683,8,32,
2015,Jeonbuk,Men,94813,68011,11396,56615,26802,24281,76,2445,
2015,Jeonbuk,Women,34065,24367,23867,500,9698,9660,21,17,
2015,Jeonnam,Men,141809,90143,19324,70819,51666,39771,216,11679,
2015,Jeonnam,Women,79720,56090,53061,3029,23630,22961,201,468,
2015,Gyeongnam,Men,106235,81377,17107,64270,24858,20596,175,4087,
2015,Gyeongnam,Women,29489,23162,23135,27,6327,6286,23,18,
2015,Jeju,Men,25685,17603,3458,14145,8082,5561,55,2466,
2015,Jeju,Women,14991,11534,11531,3,3457,3422,25,10,
2015,Outside of Korean Red Cross,Men,135665,89692,10003,79689,45973,18268,1518,25558,629
2015,Outside of Korean Red Cross,Women,75097,61511,31484,30027,13586,11375,926,1217,68
2016,Central Seoul,Men,,,,,,,,,
2016,Central Seoul,Women,,,,,,,,,
