year,source,sex,age,count
2019,Jeju,Men,16-19,7389
2019,Jeju,Women,16-19,5541
2019,Outside of Korean Red Cross,Men,16-19,26611
2019,Outside of Korean Red Cross,Women,16-19,17603
2020,Central Seoul,Men,16-19,19752
2020,Central Seoul,Women,16-19,13372
2020,Western Seoul,Men,16-19,
2020,Western Seoul,Women,16-19,
2020,Southern Seoul,Men,16-19,15050
2020,Southern Seoul,Women,16-19,7040
2020,Eastern Seoul,Men,16-19,23630
2020,Eastern Seoul,Women,16-19,14867
2020,Busan,Men,16-19,28138
2020,Busan,Women,16-19,16757
2020,Daegu/Gyeungbook,Men,16-19,23789
2020,Daegu/Gyeungbook,Women,16-19,16021
2020,Incheon,Men,16-19,16723
2020,Incheon,Women,16-19,11232
2020,Ulsan,Men,16-19,11958
2020,Ulsan,Women,16-19,5837
2020,Gyeonggi,Men,16-19,22913
2020,Gyeonggi,Women,16-19,12141
2020,Gangwon,Men,16-19,15379
2020,Gangwon,Women,16-19,6141
2020,Chungbook,Men,16-19,12395
2020,Chungbook,Women,16-19,6234
2020,Daejeon/Sejong/Chungnaam,Men,16-19,33315
2020,Daejeon/Sejong/Chungnaam,Women,16-19,22239
2020,Jeonbook,Men,16-19,21144
2020,Jeonbook,Women,16-19,10745
2020,Gwangju/Jeonnam,Men,16-19,27340
2020,Gwangju/Jeonnam,Women,16-19,20771
2020,Gyeongnaam,Men,16-19,22928
2020,Gyeongnaam,Women,16-19,10594
2020,Jeju,Men,16-19,6746
2020,Jeju,Women,16-19,4411
2020,Outside of Korean Red Cross,Men,16-19,17202
2020,Outside of Korean Red Cross,Women,16-19,12822
2021,Central Seoul,Men,16-19,20789
2021,Central Seoul,Women,16-19,11555
2021,Western Seoul,Men,16-19,
2021,Western Seoul,Women,16-19,
2021,Southern Seoul,Men,16-19,14614
2021,Southern Seoul,Women,16-19,5931
2021,Eastern Seoul,Men,16-19,22859
2021,Eastern Seoul,Women,16-19,13897
2021,Busan,Men,16-19,30332
2021,Busan,Women,16-19,16376
2021,Daegu/Gyeungbook,Men,16-19,31731
2021,Daegu/Gyeungbook,Women,16-19,18313
2021,Incheon,Men,16-19,17492
2021,Incheon,Women,16-19,10757
2021,Ulsan,Men,16-19,14672
2021,Ulsan,Women,16-19,6618
2021,Gyeonggi,Men,16-19,23657
2021,Gyeonggi,Women,16-19,12324
2021,Gangwon,Men,16-19,13922
2021,Gangwon,Women,16-19,6592
2021,Chungbook,Men,16-19,14957
2021,Chungbook,Women,16-19,6920
2021,Daejeon/Sejong/Chungnaam,Men,16-19,38428
2021,Daejeon/Sejong/Chungnaam,Women,16-19,23566
2021,Jeonbook,Men,16-19,23115
2021,Jeonbook,Women,16-19,11730
2021,Gwangju/Jeonnam,Men,16-19,33240
2021,Gwangju/Jeonnam,Women,16-19,23529
2021,Gyeongnaam,Men,16-19,23711
2021,Gyeongnaam,Women,16-19,10025
2021,Jeju,Men,16-19,7576
2021,Jeju,Women,16-19,3879
2021,Outside of Korean Red Cross,Men,16-19,17899
2021,Outside of Korean Red Cross,Women,16-19,13170
2022,Central Seoul,Men,16-19,18738
2022,Central Seoul,Women,16-19,9990
2022,Western Seoul,Men,16-19,
2022,Western Seoul,Women,16-19,
2022,Southern Seoul,Men,16-19,14829
2022,Southern Seoul,Women,16-19,5930
2022,Eastern Seoul,Men,16-19,19366
2022,Eastern Seoul,Women,16-19,12936
2022,Busan,Men,16-19,25956
2022,Busan,Women,16-19,14638
2022,Daegu/Gyeungbook,Men,16-19,28923
2022,Daegu/Gyeungbook,Women,16-19,15907
2022,Incheon,Men,16-19,14414
2022,Incheon,Women,16-19,9251
2022,Ulsan,Men,16-19,14303
2022,Ulsan,Women,16-19,6861
2022,Gyeonggi,Men,16-19,19541
2022,Gyeonggi,Women,16-19,10725
2022,Gangwon,Men,16-19,11516
2022,Gangwon,Women,16-19,5003
2022,Chungbook,Men,16-19,12325
2022,Chungbook,Women,16-19,6189
2022,Daejeon/Sejong/Chungnaam,Men,16-19,31530
2022,Daejeon/Sejong/Chungnaam,Women,16-19,19798
2022,Jeonbook,Men,16-19,17640
2022,Jeonbook,Women,16-19,9478
2022,Gwangju/Jeonnam,Men,16-19,24353
2022,Gwangju/Jeonnam,Women,16-19,17187
2022,Gyeongnaam,Men,16-19,18573
2022,Gyeongnaam,Women,16-19,8013
2022,Jeju,Men,16-19,6297
2022,Jeju,Women,16-19,3781
2022,Outside of Korean Red Cross,Men,16-19,15996
2022,Outside of Korean Red Cross,Women,16-19,12199
2023,Central Seoul,Men,16-19,21891
2023,Central Seoul,Women,16-19,11326
2023,Western Seoul,Men,16-19,
2023,Western Seoul,Women,16-19,
2023,Southern Seoul,Men,16-19,20110
2023,Southern Seoul,Women,16-19,7018
2023,Eastern Seoul,Men,16-19,22859
2023,Eastern Seoul,Women,16-19,13457
2023,Busan,Men,16-19,29837
2023,Busan,Women,16-19,14026
2023,Daegu/Gyeungbook,Men,16-19,33886
2023,Daegu/Gyeungbook,Women,16-19,15458
2023,Incheon,Men,16-19,17388
2023,Incheon,Women,16-19,9018
2023,Ulsan,Men,16-19,16190
2023,Ulsan,Women,16-19,7526
2023,Gyeonggi,Men,16-19,22396
2023,Gyeonggi,Women,16-19,10351
2023,Gangwon,Men,16-19,14328
2023,Gangwon,Women,16-19,5669
2023,Chungbook,Men,16-19,12906
2023,Chungbook,Women,16-19,6207
2023,Daejeon/Sejong/Chungnaam,Men,16-19,32411
2023,Daejeon/Sejong/Chungnaam,Women,16-19,17293
2023,Jeonbook,Men,16-19,17742
2023,Jeonbook,Women,16-19,8456
2023,Gwangju/Jeonnam,Men,16-19,26539
2023,Gwangju/Jeonnam,Women,16-19,17079
2023,Gyeongnaam,Men,16-19,21291
2023,Gyeongnaam,Women,16-19,8079
2023,Jeju,Men,16-19,6257
2023,Jeju,Women,16-19,4167
2023,Outside of Korean Red Cross,Men,16-19,18970
2023,Outside of Korean Red Cross,Women,16-19,13493
2005,Central Seoul,Men,20-29,110065
2005,Central Seoul,Women,20-29,19877
2005,Western Seoul,Men,20-29,61835
2005,Western Seoul,Women,20-29,8547
2005,Southern Seoul,Men,20-29,89573
2005,Southern Seoul,Women,20-29,14379
