"Gender","Location","Donation Source","Category","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","University","Gyeonggi","Composition Rate[%]","%","8","5.4","3.9","4.1","3","1.9","1.6","1.7","2.4","2.6","3.3","3.1","4.1","2.8","3.7",".5",".7","2.1","1.7",
"Men+Women","University","Gangwon","Donation Count[Unit]","Unit","1544","2176","1997","2804","2974","2582","3767","2942","3436","3932","3377","2251","2549","2798","3148","487","953","1288","2136",
"Men+Women","University","Gangwon","Composition Rate[%]","%","1.9","2.8","3.1","3.8","3.7","3.1","4.1","2.7","2.9","3.1","2.3","1.5","1.6","1.7","2",".3",".7","1","1.6",
"Men+Women","University","Chungbook","Donation Count[Unit]","Unit","9027","8722","4708","5997","5571","4327","3518","3538","3603","4728","4465","2924","3315","4550","6025","1538","2010","3388","3445",
"Men+Women","University","Chungbook","Composition Rate[%]","%","11.7","11","6.5","7.1","5.6","4.3","3.9","3.5","3.7","4.7","4.5","3.3","3.5","4.9","6.4","1.8","2.4","4","4",
"Men+Women","University","Daejeon/Sejong/Chungnaam","Donation Count[Unit]","Unit","9167","12903","11212","12786","13808","11063","8573","6327","11144","10924","13881","11319","11126","13518","14094","3607","6555","9873","9826",
"Men+Women","University","Daejeon/Sejong/Chungnaam","Composition Rate[%]","%","5.7","8.8","7.6","7.4","7.6","5.8","4.5","3.1","5","4.7","5.6","4.8","4.6","5.4","5.7","1.5","2.8","4.2","4.2",
"Men+Women","University","Jeonbook","Donation Count[Unit]","Unit","8963","9294","1871","2659","4017","4615","4373","3830","5102","6653","7537","6448","4330","3693","3395","310","854","1861","2944",
"Men+Women","University","Jeonbook","Composition Rate[%]","%","7.4","7.8","1.9","2.5","3.3","3.7","3.5","3","3.9","5.3","5.8","5.6","3.8","3.4","3.1",".3",".8","1.9","2.9",
"Men+Women","University","Gwangju/Jeonnaam","Donation Count[Unit]","Unit","10022","8560","7028","8371","8686","8497","9608","6082","6473","9184","8281","7262","9138","8795","8603","769","3637","4630","6962",
"Men+Women","University","Gwangju/Jeonnaam","Composition Rate[%]","%","5.7","4.3","3.9","4.3","4.3","4.3","5","3.3","3.1","4.2","3.7","3.6","4.1","4.3","4.2",".4","2","2.4","3.7",
"Men+Women","University","Gyeongnaam","Donation Count[Unit]","Unit","6507","6856","4302","4105","3708","3909","4865","6614","6557","5890","5640","5081","4777","4872","5332","1627","3600","3312","5313",
"Men+Women","University","Gyeongnaam","Composition Rate[%]","%","6.5","6.7","4.7","4","3.2","3.3","4.3","5.5","4.9","4.1","4.2","4","3.7","3.6","4","1.2","2.9","2.7","4.1",
"Men+Women","University","Jeju","Donation Count[Unit]","Unit","1882","1936","1239","1286","1170","1130","1421","1402","1945","2578","2952","2711","1526","1351","1371","456","746","1018","1224",
"Men+Women","University","Jeju","Composition Rate[%]","%","5.9","6.5","4.5","4","3.2","2.9","4.2","4.4","5.7","6.9","7.3","7.6","4","3.9","3.8","1.1","1.8","2.4","2.6",
"Men+Women","University","Outside of Korean Red Cross","Donation Count[Unit]","Unit","0","0","0","0","0","0","0","9214","9123","9358","9195","8850","8213","6392","6489","650","2099","6304","9268",
"Men+Women","University","Outside of Korean Red Cross","Composition Rate[%]","%","0","0","0","0","0","0","0","5.1","4.4","4.5","4.4","4","3.8","3.2","3.7",".4","1.2","3.1","3.9",
"Men+Women","Military Base","Total","Donation Count[Unit]","Unit","559150","429974","320063","336504","319614","283335","252486","298432","331664","332517","335482","347407","350961","325216","289426","301913","259671","209252","224242",
"Men+Women","Military Base","Total","Composition Rate[%]","%","24.6","18.7","15.3","14.3","12.4","10.6","9.6","11","11.4","10.9","10.9","12.1","12","11.3","10.4","11.6","10","7.9","8.1",
