"Daily",2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"06.22",22538,28107,36918,39353,50034,48728,32324,36691,43626,43218,33526,22538,34017,25649,24689,19968,14235,41135,22916
"06.23",21441,27483,37192,38760,49525,47551,31170,37939,44500,41360,33587,21441,33050,26325,25513,19159,13442,39278,22509
"06.24",21990,27787,37246,38426,48998,47593,29183,38809,42781,40494,33654,21990,33902,27028,24715,18865,12558,38970,24491
"06.25",23799,28028,36527,38365,48380,47195,29846,36842,40627,40074,33581,23799,34110,25310,22805,19151,13028,40379,26014
"06.26",24756,26747,35772,37157,46906,49480,30392,35060,39310,38752,32873,24756,31982,23205,21112,20093,15080,41925,24463
"06.27",23995,26542,33905,36625,48500,49718,27585,33683,38213,37254,35023,23995,30608,21212,19679,23482,16273,40052,23620
"06.28",22556,26348,32946,37631,49448,48309,26148,31950,36306,39926,35952,22556,28429,19150,18758,24557,15256,38661,23346
"06.29",22064,25054,31627,38228,47834,46809,23746,31364,37304,40442,35429,22064,26645,18526,19938,24784,14556,37353,21277
"06.30",20036,22800,32195,36980,45912,45322,21897,32836,37814,38411,34511,20036,25123,19374,20692,24235,14291,36355,21426
"07.01",18527,22247,32191,35335,45442,43771,20959,33652,35091,36496,34306,18527,25984,19658,19675,23267,13525,36065,23323
"07.02",19851,22291,30706,33222,44625,42801,22333,31636,32639,34216,33514,19851,26071,17489,18593,22162,13230,37474,24464
"07.03",19732,20779,30989,31635,43953,44152,23335,29541,31290,33138,33143,19732,23855,15105,18863,21443,14159,37810,23544
"07.04",18861,20563,31141,29884,44730,45677,22356,27898,29591,31188,35411,18861,21596,14926,17434,23188,15300,36180,22315
"07.05",18310,19966,31340,30604,45273,45365,21688,26945,29281,33268,35828,18310,19979,13960,17446,24268,14202,35573,22784
"07.06",17973,19937,31448,31012,44544,45788,21332,25310,31936,33803,36119,17973,19322,14764,19484,22542,13217,33937,23195
"07.07",18583,20328,32098,30493,44166,46199,21323,28076,32924,32228,35276,18583,20250,17832,19911,21593,12447,33943,23572
"07.08",18827,20765,31762,30925,43999,47009,20655,29949,31940,31757,35253,18827,22266,18926,19453,20541,12880,33997,25536
