"Gender","Monthly","Donation Source","Ç×¸ñ","Unit","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Men+Women","March","Jeju","Composition Rate[%]","%","7.9","9","7.4","8.5","8","8.2","8.4","8.8","8.1","8.3","8.4","8.6","9.2","8.9","8.1","8.6","8.6","7.5","8.1",
"Men+Women","March","Outside of Korean Red Cross","Donation Count","Unit","5006","4962","4616","6277","8464","12831","14914","13171","17909","17300","17588","18287","18824","15829","13717","18227","15323","14448","20281",
"Men+Women","March","Outside of Korean Red Cross","Composition Rate[%]","%","9.9","9.6","7.8","7.7","7.8","8.6","8.9","7.3","8.7","8.3","8.3","8.3","8.8","7.8","7.7","10.3","8.6","7.1","8.6",
"Men+Women","April","Total","Donation Count","Unit","194710","197756","174920","193339","219834","218544","221918","217850","243715","248511","253150","237131","234293","237446","228082","193247","215655","227266","220845",
"Men+Women","April","Total","Composition Rate[%]","%","8.6","8.6","8.4","8.2","8.6","8.2","8.5","8","8.4","8.1","8.2","8.3","8","8.2","8.2","7.4","8.3","8.6","8",
"Men+Women","April","Korean Red Cross","Donation Count","Unit","190260","193844","170555","186872","211216","207287","207835","203651","225716","231739","235752","217217","216101","221319","216020","180470","202033","211704","201248",
"Men+Women","April","Korean Red Cross","Composition Rate[%]","%","8.6","8.6","8.4","8.2","8.6","8.2","8.5","8","8.3","8.1","8.2","8.2","8","8.3","8.3","7.4","8.3","8.7","7.9",
"Men+Women","April","Central Seoul","Donation Count","Unit","17090","19001","15628","16654","17279","17320","","","","","","","","21216","19073","17709","17388","19789","18356",
"Men+Women","April","Central Seoul","Composition Rate[%]","%","8.1","8.6","8.3","8","8.3","6.9","","","","","","","","8","7.6","8","8","8.8","7.8",
"Men+Women","April","Western Seoul","Donation Count","Unit","10092","11852","13102","12992","16602","14751","21333","22496","24258","26565","27163","22931","20490","","","","","","",
"Men+Women","April","Western Seoul","Composition Rate[%]","%","7.6","8.6","8.5","7.6","8","16.4","7.9","7.9","8","7.9","8.2","7.9","7.4","","","","","","",
"Men+Women","April","Southern Seoul","Donation Count","Unit","15030","16555","15193","16357","18589","15333","17732","18473","17671","18822","18885","17262","19427","20239","17466","14481","14946","15396","15926",
"Men+Women","April","Southern Seoul","Composition Rate[%]","%","8.3","8.7","8.8","8.7","8.7","7","8.1","8.1","7.5","8.2","8.4","7.6","7.9","8.8","8.1","7.6","8.5","8.5","8.1",
"Men+Women","April","Eastern Seoul","Donation Count","Unit","16005","17238","14795","15587","15124","17558","20703","18947","22900","23512","22929","21119","21057","21542","19758","19562","19836","20329","20222",
"Men+Women","April","Eastern Seoul","Composition Rate[%]","%","8.2","8.6","8.1","7.9","7.8","7.1","7.8","6.9","7.8","7.5","7.7","7.7","7.5","7.7","7.6","8.4","8.6","8.5","7.9",
"Men+Women","April","Busan","Donation Count","Unit","18674","18257","14981","17866","21150","21260","20120","16331","19251","18511","19022","17662","18622","17887","18869","13964","15885","17457","16386",
"Men+Women","April","Busan","Composition Rate[%]","%","8.8","8.6","7.9","8.5","9.8","9.1","9.3","7.5","8.3","7.9","8","8.6","8.7","8","8.8","7.1","8.2","8.6","8",
"Men+Women","April","Daegu/Gyeongbook","Donation Count","Unit","16874","17497","15203","15851","17394","18096","17565","19200","21646","22083","21872","20312","19006","20156","19916","11465","18494","19145","18804",
